STATION,DATE,PRCP,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00094846,2017-01-27,0,28,,,,,,,,,
USW00094846,2017-01-28,0,27,,,,,,,1,,
USW00094846,2017-01-29,0,27,,,,,,,,,
USW00094846,2017-01-30,0.01,22,,,,,,,,,
USW00094846,2017-01-31,0.03,36,1,,,,,,,,
USW00094846,2017-02-01,0,35,1,,,,,,,,
USW00094846,2017-02-02,0,21,,,,,,,,,
USW00094846,2017-02-03,0,19,,,,,,,,,
USW00094846,2017-02-04,0,22,,,,,,,,,
USW00094846,2017-02-05,0,33,1,,,,,,,,
USW00094846,2017-02-06,0,33,1,1,,,,,1,,
USW00094846,2017-02-07,0.47,44,1,1,1,,,,,,
USW00094846,2017-02-08,0,31,,,,,,,,,
USW00094846,2017-02-09,0,19,,,,,,,,,
USW00094846,2017-02-10,0,26,,,,,,,,,
USW00094846,2017-02-11,0,41,1,,,,,,1,,
USW00094846,2017-02-12,0,39,,,,,,,,,
USW00094846,2017-02-13,0,35,,,,,,,,,
USW00094846,2017-02-14,0,40,,,,,,,,,
USW00094846,2017-02-15,0,33,,,,,,,,,
USW00094846,2017-02-16,0,33,,,,,,,,,
USW00094846,2017-02-17,0,43,,,,,,,,,
USW00094846,2017-02-18,0,58,,,,,,,,,
USW00094846,2017-02-19,0,51,,,,,,,,,
USW00094846,2017-02-20,0,53,1,,,,,,1,,
USW00094846,2017-02-21,0.04,60,1,,,,,,1,,
USW00094846,2017-02-22,0,58,1,,,,,,1,,
USW00094846,2017-02-23,0.21,52,1,,,,,,,,
USW00094846,2017-02-24,0.15,39,1,,1,,,,,,
USW00094846,2017-02-25,0,29,,,,,,,,,
USW00094846,2017-02-26,0,32,,,,,,,,,
USW00094846,2017-02-27,0,41,,,,,,,,,
USW00094846,2017-02-28,0.65,51,1,,1,,,,1,,
USW00094846,2017-03-01,0.12,47,1,1,,,,,,,
USW00094846,2017-03-02,0,32,,,,,,,,,
USW00094846,2017-03-03,0,27,,,,,,,,,
USW00094846,2017-03-04,0.01,33,1,,,,,,1,,
USW00094846,2017-03-05,0,41,,,,,,,,,
USW00094846,2017-03-06,0,55,,,,,,,,,
